,id,title,releaseStatus,type,runtimeSeconds,rating,ratingCount,genres,description,duration,releaseYear,countriesOfOrigin,directors,writers,cast,suggestionsID,suggestionsTitle,keywords,quotes,imageUrl
1,tt0903747,Breaking Bad,True,movie,2700,9.5,2293023,"Crime:,:Drama:,:Thriller",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,45m,2008.0,United States,,,"Bryan Cranston:,:Aaron Paul:,:Anna Gunn:,:Betsy Brandt:,:RJ Mitte:,:Dean Norris:,:Bob Odenkirk:,:Steven Michael Quezada:,:Jonathan Banks:,:Giancarlo Esposito:,:Charles Baker:,:Jesse Plemons:,:Christopher Cousins:,:Laura Fraser:,:Matt Jones:,:Michael Shamus Wiles:,:Lavell Crawford:,:Ray Campbell","tt3032476:,:tt0944947:,:tt4574334:,:tt7366338:,:tt1190634:,:tt9243946:,:tt1520211:,:tt0141842:,:tt2442560:,:tt10919420:,:tt0773262:,:tt2861424","Better Call Saul:,:Game of Thrones:,:Stranger Things:,:Chernobyl:,:The Boys:,:El Camino:,:The Walking Dead:,:The Sopranos:,:Peaky Blinders:,:Squid Game:,:Dexter:,:Rick and Morty","cancer:,:chemistry:,:drug trade:,:drug:,:albuquerque new mexico","Who are you talking to right now? Who is it you think you see? Do you know how much I make a year? I mean, even if I told you, you wouldn't believe it. Do you know what would happen if I suddenly decided to stop going into work? A business big enough that it could be listed on the NASDAQ goes belly up. Disappears. It ceases to exist, without me. No, you clearly don't know who you're talking to, so let me clue you in. I am not in danger, Skyler. I AM the danger. A guy opens his door and gets shot, and you think that of me? No! I am the one who knocks!",https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_.jpg
2,tt5491994,Planet Earth II,True,movie,3000,9.4,165444,Documentary,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,50m,2016.0,"United Kingdom:,:Germany:,:France:,:China:,:United States",,,"David Attenborough:,:Gordon Buchanan:,:Chadden Hunter:,:Michael J. Sanderson:,:Fredi Devas:,:Pete McCowen:,:Sandesh Kadur:,:Elizabeth White:,:Mark MacEwen:,:Toby Nowlan:,:Max Hug Williams:,:Ed Charles:,:Emma Napper:,:Thomas Crowley:,:Rob Drewett:,:Barrie Britton:,:Emma Brennand:,:Jerome Poncet","tt6769208:,:tt9253866:,:tt0296310:,:tt9805674:,:tt2395695:,:tt2092588:,:tt0185906:,:tt6611916:,:tt1262416:,:tt1806234:,:tt0081846:,:tt1533395","Blue Planet II:,:Our Planet:,:The Blue Planet:,:Planet Earth III:,:Cosmos: A Spacetime Odyssey:,:Frozen Planet:,:Band of Brothers:,:Kingdom:,:Scream 4:,:Human Planet:,:Cosmos:,:Life","nature documentary:,:mountain:,:desert:,:island:,:nature",,https://m.media-amazon.com/images/M/MV5BMzY4NDBkMWYtYzdkYy00YzBjLWJmODctMWM4YjYzZTdjNWE5XkEyXkFqcGc@._V1_.jpg
3,tt0795176,Planet Earth,True,movie,3000,9.4,226406,"Documentary:,:Family","A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenbo...",50m,2006.0,"United Kingdom:,:Canada:,:United States:,:Japan",,,"Sigourney Weaver:,:David Attenborough:,:Nikolay Drozdov:,:Thomas Anguti Johnston:,:Sanae Ueda:,:Huw Cordey:,:Mark Linfield:,:Doug Allan:,:Chadden Hunter:,:Simon King:,:Doug Anderson:,:Paul Stewart:,:Jeff Wilson:,:Peter Scoones:,:Mike Holding:,:Michael Kelem:,:Justine Evans:,:Rick Rosenthal","tt0417299:,:tt7678620:,:tt0103359:,:tt1865718:,:tt0096657:,:tt8595766:,:tt6025022:,:tt0110357:,:tt0268093:,:tt0910970:,:tt0275137:,:tt0114709","Avatar: The Last Airbender:,:Bluey:,:Batman: The Animated Series:,:Gravity Falls:,:Mr. Bean:,:Yeh Meri Family:,:Justice League Unlimited:,:The Lion King:,:Ramayan:,:WALL·E:,:Justice League:,:Toy Story","animal:,:life:,:earth:,:tv mini series:,:nature",,https://m.media-amazon.com/images/M/MV5BY2NjNDUzOTgtMDFmNC00ZGQ4LWE5MDctMzczNGVlOGU1N2MyXkEyXkFqcGc@._V1_.jpg
4,tt0185906,Band of Brothers,True,movie,3600,9.4,556080,"Action:,:Drama:,:History","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",1h,2001.0,"United Kingdom:,:United States",,,"Scott Grimes:,:Damian Lewis:,:Ron Livingston:,:Shane Taylor:,:Donnie Wahlberg:,:Peter Youngblood Hills:,:Matthew Leitch:,:Nicholas Aaron:,:Philip Barantini:,:Michael Cudlitz:,:Dexter Fletcher:,:Rick Gomez:,:James Madio:,:Ross McCall:,:Doug Allen:,:George Calil:,:Nolan Hemmings:,:Robin Laing","tt7366338:,:tt0374463:,:tt5491994:,:tt0306414:,:tt8420184:,:tt0903747:,:tt0141842:,:tt0944947:,:tt1475582:,:tt3032476:,:tt0302022:,:tt2356777","Chernobyl:,:The Pacific:,:Planet Earth II:,:The Wire:,:The Last Dance:,:Breaking Bad:,:The Sopranos:,:Game of Thrones:,:Sherlock:,:Better Call Saul:,:We Stand Alone Together:,:True Detective","world war two soldier:,:military:,:world war two:,:20th century:,:1940s","Looks like you guys are going to be surrounded.:,:We're paratroopers, Lieutenant. We're supposed to be surrounded.",https://m.media-amazon.com/images/M/MV5BMTQ3NTdmOTEtZTRmMi00NTg5LWI5NmUtYTNiOTc0ZmNkODU0XkEyXkFqcGc@._V1_.jpg
5,tt7366338,Chernobyl,True,movie,3600,9.3,934196,"Drama:,:History:,:Thriller","In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.",1h,2019.0,"United States:,:United Kingdom",,,"Jessie Buckley:,:Jared Harris:,:Stellan Skarsgård:,:Adam Nagaitis:,:Emily Watson:,:Paul Ritter:,:Robert Emms:,:Sam Troughton:,:Karl Davies:,:Michael Socha:,:Laura Elphinstone:,:Jan Ricica:,:Adrian Rawlins:,:Alan Williams:,:Con O'Neill:,:Douggie McMeekin:,:Nadia Clifford:,:David Dencik","tt0903747:,:tt0944947:,:tt1475582:,:tt0185906:,:tt3032476:,:tt3581920:,:tt2442560:,:tt0141842:,:tt5753856:,:tt2085059:,:tt0306414:,:tt2356777","Breaking Bad:,:Game of Thrones:,:Sherlock:,:Band of Brothers:,:Better Call Saul:,:The Last of Us:,:Peaky Blinders:,:The Sopranos:,:Dark:,:Black Mirror:,:The Wire:,:True Detective","chernobyl disaster:,:chernobyl:,:1980s:,:tv mini series:,:nuclear accident",,https://m.media-amazon.com/images/M/MV5BNzU0OTI4YTQtNGQ1ZS00ZjA4LTg3MTMtZjkyZWNjN2RiZDJmXkEyXkFqcGc@._V1_.jpg
6,tt0306414,The Wire,True,movie,3600,9.3,399107,"Crime:,:Drama:,:Thriller","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",1h,2002.0,United States,,,"Dominic West:,:Lance Reddick:,:Sonja Sohn:,:Wendell Pierce:,:John Doman:,:Deirdre Lovejoy:,:Seth Gilliam:,:Domenick Lombardozzi:,:Clarke Peters:,:Andre Royo:,:Michael Kenneth Williams:,:Jim True-Frost:,:Frankie Faison:,:Corey Parker Robinson:,:Delaney Williams:,:J.D. Williams:,:Wood Harris:,:Idris Elba","tt0141842:,:tt0185906:,:tt7366338:,:tt3032476:,:tt2356777:,:tt0903747:,:tt2802850:,:tt7660850:,:tt5491994:,:tt0944947:,:tt1475582:,:tt8420184","The Sopranos:,:Band of Brothers:,:Chernobyl:,:Better Call Saul:,:True Detective:,:Breaking Bad:,:Fargo:,:Succession:,:Planet Earth II:,:Game of Thrones:,:Sherlock:,:The Last Dance","baltimore maryland:,:drug trafficking:,:police:,:2000s:,:police department politics","A life, Jimmy, you know what that is? It's the shit that happens while you're waiting for moments that never come.",https://m.media-amazon.com/images/M/MV5BZWYyNmRhYjktNjBhNC00M2NhLWEzYmMtZDYwNmIyZTRiZWMzXkEyXkFqcGc@._V1_.jpg
7,tt0417299,Avatar: The Last Airbender,True,movie,1380,9.3,399850,"Animation:,:Action:,:Adventure","In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23m,2005.0,"United States:,:South Korea",,,"Dee Bradley Baker:,:Zach Tyler Eisen:,:Mae Whitman:,:Jack De Sena:,:Dante Basco:,:Michaela Jill Murphy:,:Mako:,:Grey Griffin:,:André Sogliuzzo:,:Cricket Leigh:,:Mark Hamill:,:Jennie Kwan:,:Olivia Hack:,:Greg Baldwin:,:Jim Meskimen:,:James Garrett:,:Jason Isaacs:,:James Sie","tt1695360:,:tt1865718:,:tt9018736:,:tt1305826:,:tt4508902:,:tt35854736:,:tt4633694:,:tt9362722:,:tt1710308:,:tt3718778:,:tt0795176:,:tt0245429","The Legend of Korra:,:Gravity Falls:,:Avatar: The Last Airbender:,:Adventure Time:,:One Punch Man:,:Avatar: Seven Havens:,:Spider-Man: Into the Spider-Verse:,:Spider-Man: Across the Spider-Verse:,:Regular Show:,:Over the Garden Wall:,:Planet Earth:,:Spirited Away","fire:,:water:,:action girl:,:coming of age:,:spirit",MY CABBAGES!,https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@._V1_.jpg
8,tt6769208,Blue Planet II,True,movie,3000,9.3,51144,Documentary,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",50m,2017.0,"United Kingdom:,:United States:,:China:,:France:,:Germany",,,"David Attenborough:,:Peter Drost:,:Roger Horrocks:,:Roger Munns","tt0296310:,:tt5491994:,:tt9253866:,:tt2092588:,:tt1806234:,:tt2395695:,:tt0081846:,:tt1533395:,:tt2571774:,:tt0071075:,:tt1877514:,:tt0081834","The Blue Planet:,:Planet Earth II:,:Our Planet:,:Frozen Planet:,:Human Planet:,:Cosmos: A Spacetime Odyssey:,:Cosmos:,:Life:,:Africa:,:The World at War:,:The Vietnam War:,:Das Boot","sequel:,:numbered sequel:,:nature:,:nature documentary:,:marine biology",,https://m.media-amazon.com/images/M/MV5BNmUwYThjM2UtNTg1Yy00MzRlLThhMmYtNjlmOWU0ZmQxZDA3XkEyXkFqcGc@._V1_.jpg
9,tt0141842,The Sopranos,True,movie,3600,9.2,515366,"Crime:,:Drama","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",1h,1999.0,United States,,,"James Gandolfini:,:Lorraine Bracco:,:Edie Falco:,:Michael Imperioli:,:Steven Van Zandt:,:Robert Iler:,:Tony Sirico:,:Jamie-Lynn Sigler:,:Dominic Chianese:,:Aida Turturro:,:Steve Schirripa:,:Drea de Matteo:,:Dan Grimaldi:,:Joseph R. Gannascoli:,:Sharon Angela:,:John Ventimiglia:,:Vincent Curatola:,:Frank Vincent","tt0306414:,:tt0903747:,:tt3032476:,:tt0944947:,:tt7366338:,:tt2356777:,:tt0185906:,:tt7660850:,:tt2442560:,:tt1190634:,:tt0773262:,:tt3581920","The Wire:,:Breaking Bad:,:Better Call Saul:,:Game of Thrones:,:Chernobyl:,:True Detective:,:Band of Brothers:,:Succession:,:Peaky Blinders:,:The Boys:,:Dexter:,:The Last of Us","violence:,:mafia:,:psychiatrist:,:italian american:,:family relationships","You know where I was yesterday when you called?:,:I don't know.:,:I was outside a whorehouse, while a guy that works for me was inside beating the shit out of a guy that owes me money. Broke his arm. Put a bullet in his kneecap.:,:How'd that make you feel?:,:Wished it was me in there.:,:Giving the beating or taking it?",https://m.media-amazon.com/images/M/MV5BMjRmMTNiMTQtMDg1ZS00MGM1LWE1MGUtYjEzMGFjNWUzOWRkXkEyXkFqcGc@._V1_.jpg
10,tt2395695,Cosmos: A Spacetime Odyssey,True,movie,2700,9.2,133507,Documentary,An exploration of our discovery of the laws of nature and coordinates in space and time.,45m,2014.0,United States,,,"Neil deGrasse Tyson:,:Christopher Emerson:,:Keythe Farley:,:Piotr Michael:,:Enn Reitel:,:Stoney Emshwiller:,:André Sogliuzzo:,:Kirsten Dunst:,:Amanda Seyfried:,:Paul Sorvino:,:Phil LaMarr:,:Larry Cedar:,:Christiane Amanpour:,:Seth MacFarlane:,:Fred Tatasciore:,:Martin Jarvis:,:Glenn Steinbaum:,:Maria Frucci","tt0081846:,:tt6769208:,:tt5491994:,:tt1533395:,:tt9253866:,:tt0296310:,:tt0071075:,:tt2092588:,:tt1806234:,:tt2571774:,:tt1508238:,:tt0092337","Cosmos:,:Blue Planet II:,:Planet Earth II:,:Life:,:Our Planet:,:The Blue Planet:,:The World at War:,:Frozen Planet:,:Human Planet:,:Africa:,:Apocalypse: The Second World War:,:Dekalog","cosmology:,:astronomy:,:universe:,:science:,:albert einstein character",,https://m.media-amazon.com/images/M/MV5BYTRlMzk0NzctNTI3Ni00N2E2LWJiNGMtMDdlNjk1YWNmMzkyXkEyXkFqcGc@._V1_.jpg
